iter	MultiClass
0	0.9756984527
1	0.861839593
2	0.7755061227
3	0.7089984844
4	0.6440546195
5	0.5945064026
6	0.5398484242
7	0.4981774529
8	0.4527521859
9	0.4168962103
10	0.3823289783
11	0.3582605658
12	0.3380106435
13	0.3170935477
14	0.2962848062
15	0.2786466293
16	0.2628816427
17	0.2478252945
18	0.2313626275
19	0.2203004316
20	0.2070735661
21	0.1946618301
22	0.1882721672
23	0.1787912166
24	0.1693128029
25	0.1618280892
26	0.1556995205
27	0.1480175713
28	0.1415507183
29	0.1357158164
30	0.1301095821
31	0.1247439632
32	0.1185788776
33	0.1134766668
34	0.1073276451
35	0.1034645193
36	0.0995728558
37	0.0958317703
38	0.09254943332
39	0.08917371692
40	0.08637924062
41	0.08385525751
42	0.08164531488
43	0.07860085323
44	0.07530240477
45	0.07315773918
46	0.07109772778
47	0.06883440987
48	0.06687216679
49	0.06511002692
50	0.06365807251
51	0.06214408945
52	0.05990490344
53	0.05821373022
54	0.05677299906
55	0.05637205036
56	0.05443078243
57	0.05322037018
58	0.05242826043
59	0.05072440555
60	0.04941632957
61	0.04917887888
62	0.04791807151
63	0.04733420432
64	0.04702472756
65	0.04575935905
66	0.04462969421
67	0.04341309982
68	0.04275980246
69	0.04193254099
70	0.04108967829
71	0.04082057199
72	0.04063445959
73	0.04040997773
74	0.03937325473
75	0.03872454736
76	0.03811170339
77	0.0374853943
78	0.03725869984
79	0.03657431463
80	0.03638308104
81	0.03619742058
82	0.03578020985
83	0.03528149125
84	0.0348351065
85	0.0347169297
86	0.03443236356
87	0.03417634093
88	0.03378361337
89	0.03320594569
90	0.03275730549
91	0.0323678717
92	0.03226504944
93	0.03194644991
94	0.03155420987
95	0.03075149414
96	0.02987173991
97	0.02977584675
98	0.02903950571
99	0.02892086528
100	0.02872742783
101	0.02855456884
102	0.02829412913
103	0.02797493536
104	0.02751173448
105	0.02720655814
106	0.02691331009
107	0.02680528661
108	0.02657231826
109	0.02615504385
110	0.02605242431
111	0.02575624007
112	0.02550684614
113	0.02543654669
114	0.02533475679
115	0.02497016402
116	0.02474262176
117	0.02466048031
118	0.02442886242
119	0.02423175044
120	0.02415429561
121	0.02392022184
122	0.02333571738
123	0.02310762962
124	0.02291102296
125	0.02281252863
126	0.02261500843
127	0.02229881551
128	0.02209584375
129	0.02190990923
130	0.02176478546
131	0.0214950457
132	0.02133264522
133	0.02127095755
134	0.02120943458
135	0.02106815651
136	0.02102473005
137	0.0208558802
138	0.02073281976
139	0.02027156479
140	0.02009586688
141	0.0199537161
142	0.01971755716
143	0.01958216473
144	0.01933672488
145	0.01929423186
146	0.01907079227
147	0.01867248106
148	0.01852576631
149	0.01839265948
150	0.01811609351
151	0.01799808866
152	0.01795477637
153	0.01789971096
154	0.0178533337
155	0.01749793987
156	0.01745738733
157	0.01727184639
158	0.01723298203
159	0.01713152498
160	0.01701581378
161	0.01677108572
162	0.01667450358
163	0.01657556354
164	0.0162717886
165	0.01616795504
166	0.01600539495
167	0.01591828585
168	0.01589230709
169	0.01583932985
170	0.01576371696
171	0.01558360608
172	0.0154867909
173	0.0153969744
174	0.01535363949
175	0.0152856752
176	0.0152458985
177	0.01518396264
178	0.01512116461
179	0.01503240679
180	0.01500547581
181	0.01489909396
182	0.01481165018
183	0.01478637149
184	0.0146843332
185	0.01460578807
186	0.01453077468
187	0.0144041629
188	0.01433135468
189	0.01423603616
190	0.01420993992
191	0.01418420959
192	0.01410473838
193	0.01402614395
194	0.01388116116
195	0.01378613189
196	0.01358731208
197	0.01350950857
198	0.01342686053
199	0.01336090346
